,Año,Premiada,País,Categoría,Motivación
28,1996,"Szymborska, WislawaWisława Szymborska",Polonia Polonia,Literatura,«Por la poesía que con precisión irónica permite al contexto histórico y biológico salir a la luz en fragmentos de la realidad humana».[38]​
29,1997,"Williams, JodyJody Williams(compartido con la Campaña Internacional para la Prohibición de las Minas Antipersona)", Estados Unidos,Paz,«Por su trabajo para la prohibición y limpieza de minas antipersonales».[39]​
30,2003,"Ebadi, ShirinShirin Ebadi",Irán Irán,Paz,«Por sus esfuerzos por la democracia y los derechos humanos. Se ha centrado especialmente en la lucha por los derechos de las mujeres y los niños».[40]​
31,2004,"Jelinek, ElfriedeElfriede Jelinek",Austria Austria,Literatura,«Por su flujo musical de voces y contravoces en novelas y obras teatrales que con extraordinario celo lingüístico revelan lo absurdo de los clichés de la sociedad y su poder subyugante».[41]​
32,2004,"Maathai, WangariWangari Maathai",Kenia Kenia,Paz,"«Por su contribución al desarrollo sustentable, la democracia y la paz».[42]​"
33,2004,"Buck, Linda B.Linda B. Buck(compartido con Richard Axel)", Estados Unidos,Fisiología o Medicina,«Por su descubrimiento de los receptores olfatorios y la organización del sistema olfativo».[43]​
34,2007,"Lessing, DorisDoris Lessing","Reino Unido Reino Unido(Nacida en Kermanshah, actual Irán)",Literatura,"«La narradora épica de la experiencia femenina, quien con escepticismo, ardor y poder visionario ha sometido a una civilización dividida al escrutinio».[44]​"
35,2008,"Barre-Sinoussi, FrancoiseFrançoise Barré-Sinoussi(compartido con Harald zur Hausen y Luc Montagnier)", Francia,Fisiología o Medicina,«Por su descubrimiento del virus de la inmunodeficiencia humana».[45]​
36,2009,"Blackburn, ElizabethElizabeth Blackburn(compartido con Carol W. Greider y Jack W. Szostak)", Australia Estados Unidos,Fisiología o Medicina,«Por el descubrimiento de cómo los cromosomas son protegidos por los telómeros y la enzima telomerasa».[46]​
37,2009,"Greider, Carol W.Carol W. Greider(compartido con Elizabeth Blackburn y Jack W. Szostak)", Estados Unidos,Fisiología o Medicina,«Por el descubrimiento de cómo los cromosomas son protegidos por los telómeros y la enzima telomerasa».[46]​
38,2009,"Yonath, Ada E.Ada E. Yonath(compartido con Venkatraman Ramakrishnan y Thomas A. Steitz)",Israel Israel,Química,«Por el estudio de la estructura y función de los ribosomas».[47]​
39,2009,"Muller, HertaHerta Müller",Alemania AlemaniaRumania Rumania,Literatura,"«Quien, con la concentración de la poesía y la franqueza de la prosa, describe el paisaje de los desposeídos».[48]​"
40,2009,Elinor OstromElinor Ostrom(compartido con Oliver E. Williamson), Estados Unidos,Economía,"«Por su análisis de la gobernanza económica, especialmente los bienes comunes».[49]​"
41,2011,"Johnson-Sirleaf, EllenEllen Johnson-Sirleaf",Liberia Liberia,Paz,«Por su lucha sin violencia por la seguridad de las mujeres y el derecho de la mujer a participar plenamente en la labor de consolidación de la paz».[50]​
42,2011,"Gbowee, LeymahLeymah Gbowee",Liberia Liberia,Paz,«Por su lucha sin violencia por la seguridad de las mujeres y el derecho de la mujer a participar plenamente en la labor de consolidación de la paz».[50]​
43,2011,"Karman, TawakelTawakel Karman",Yemen Yemen,Paz,«Por su lucha sin violencia por la seguridad de las mujeres y el derecho de la mujer a participar plenamente en la labor de consolidación de la paz».[50]​
44,2013,"Munro, AliceAlice Munro",Canadá Canadá,Literatura,«Maestra del cuento contemporáneo».[51]​
45,2014,"Moser, May-BrittMay-Britt Moser(compartido con John O'Keefe y Edvard I. Moser)",Noruega Noruega,Fisiología o Medicina,«Por sus descubrimientos de células que constituyen un sistema de posicionamiento en el cerebro».[52]​
46,2014,"Yousafzai, MalalaMalala Yousafzai(compartido con Kailash Satyarthi)",Pakistán Pakistán,Paz,"«Por su lucha contra la represión de los niños y jóvenes, y por el derecho de todos los niños a la educación».[53]​"
47,2015,"Youyou, TuTu Youyou(compartido con William C. Campbell y Satoshi Ōmura)",China China,Fisiología o Medicina,«Por sus descubrimientos de una nueva terapia contra la malaria».[54]​
48,2015,"Aleksiévich, SvetlanaSvetlana Aleksiévich","Bielorrusia Bielorrusia(Nacida en Ivano-Frankivsk, actual Ucrania)",Literatura,"«Por sus escritos polifónicos, un monumento al sufrimiento y valor en nuestro tiempo».[55]​"
49,2018,"Strickland, DonnaDonna Strickland(compartido con Gérard Mourou y Arthur Ashkin)",Canadá Canadá,Física,«Por su método para generar pulsos ópticos ultra cortos de alta intensidad».[56]​
50,2018,"Arnold, FrancesFrances Arnold(compartido con George P. Smith y Gregory Winter)", Estados Unidos,Química,«Por la evolución dirigida de enzimas».[57]​
51,2018,"Murad, NadiaNadia Murad(compartido con Denis Mukwege)",Irak Irak,Paz,«Por sus esfuerzos para acabar con el uso de la violencia sexual como arma en guerras y conflictos armados»[58]​
52,2018,"Tokarczuk, OlgaOlga Tokarczuk",Polonia Polonia,Literatura,«Por su imaginación narrativa que con pasión enciclopédica representa el cruce de fronteras como una forma de vida».[59]​
53,2019,"Duflo, EstherEsther Duflo(compartido con Abhijit Banerjee y Michael Kremer)", Francia Estados Unidos,Economía,«Por su enfoque experimental para aliviar la pobreza global».[60]​
54,2020,"Ghez, Andrea M.Andrea M. Ghez(compartido con Roger Penrose y Reinhard Genzel)", Estados Unidos,Física,«Por el descubrimiento de un objeto compacto supermasivo en el centro de nuestra galaxia».[61]​
55,2020,"Charpentier, EmmanuelleEmmanuelle Charpentier", Francia,Química,«Por el desarrollo de un método para la edición del genoma».[62]​
56,2020,"Doudna, JenniferJennifer Doudna", Estados Unidos,Química,«Por el desarrollo de un método para la edición del genoma».[62]​
57,2020,"Glück, LouiseLouise Glück", Estados Unidos,Literatura,«por su inconfundible voz poética que con austera belleza hace universal la existencia individual».[63]​
